Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,순위점수 + 톱랭킹포인트*10,순위점수 + 톱랭킹포인트,순위점수 + WAR
,,,,,a,b,,,c,a + (round(b)*10),a + round(b/10)*10,a + (c*1000)
rank,톱랭킹 Rank,선수명,구단,포지션,순위 점수,톱랭킹 포인트,기본 점수,승리 기여도,WAR,1안,2안,3안(FIX)
142,71,김헌곤,삼성,타자,230000,497.11,433.8,63.31,1.57,234970,230500,231570
143,71,한승혁,한화,투수,230000,194.14,273.3,-79.16,0.95,231940,230190,230950
144,73,켈리,LG,투수,228000,184.47,298.8,-114.33,1.72,229840,228180,229720
145,73,서건창,KIA,타자,228000,492.34,370.8,121.54,1.69,232920,228490,229690
146,72,이영하,두산,투수,229000,188.74,257.2,-68.46,0.36,230890,229190,229360
147,74,김유영,LG,투수,227000,174.85,179.1,-4.25,0.56,228750,227170,227560
148,74,류지혁,삼성,타자,227000,486.95,350.1,136.85,0.27,231870,227490,227270
149,75,맥키넌,삼성,타자,226000,479.66,408,71.66,1.16,230800,226480,227160
150,75,최지민,KIA,투수,226000,168,194.5,-26.5,0.38,227680,226170,226380
151,77,이지영,SSG,타자,224000,459.39,465.5,-6.11,1.99,228590,224460,225990
152,76,추신수,SSG,타자,225000,475.18,434,41.18,0.94,229750,225480,225940
153,76,김민우,한화,투수,225000,141.29,117.2,24.09,0.62,226410,225140,225620
154,78,김상수,KT,타자,223000,455.28,429.5,25.78,2.12,227550,223460,225120
155,78,산체스,한화,투수,223000,130.69,109.9,20.79,1.58,224310,223130,224580
156,77,김재웅,키움,투수,224000,139.7,114.6,25.1,0.38,225400,224140,224380
157,79,바리아,한화,투수,222000,129.6,221.8,-92.2,1.75,223300,222130,223750
158,80,한준수,KIA,타자,221000,434.96,420.6,14.36,1.83,225350,221430,222830
159,79,황재균,KT,타자,222000,444.12,493.2,-49.08,-0.34,226440,222440,221660
160,80,김서현,한화,투수,221000,123.33,184.4,-61.07,0.65,222230,221120,221650
161,81,한현희,롯데,투수,220000,122.28,278,-155.72,1.65,221220,220120,221650
162,81,구본혁,LG,타자,220000,428.95,446.7,-17.75,1.61,224290,220430,221610
163,83,서호철,NC,타자,218000,421.72,560.2,-138.48,1.96,222220,218420,219960
164,82,장진혁,한화,타자,219000,424.44,476.9,-52.46,0.72,223240,219420,219720
165,82,김동욱,키움,투수,219000,118.57,136,-17.43,0.11,220190,219120,219110
166,84,최인호,한화,타자,217000,394.26,331.7,62.56,2.06,220940,217390,219060
167,83,정현수,롯데,투수,218000,115.48,84.7,30.78,0.88,219150,218120,218880
168,85,윤정빈,삼성,타자,216000,393.1,280.2,112.9,1.72,219930,216390,217720
169,84,임정호,NC,투수,217000,109.38,154.8,-45.42,0.61,218090,217110,217610
170,85,최종인,두산,투수,216000,109.24,107.6,1.64,0.18,217090,216110,216180
171,87,황영묵,한화,타자,214000,350.3,404.2,-53.9,1.86,217500,214350,215860
172,88,김진욱,롯데,투수,213000,85.75,142.6,-56.85,2.36,213860,213090,215360
173,86,김대유,KIA,투수,215000,104.68,48.3,56.38,-0.35,216050,215100,214650
174,87,소형준,KT,투수,214000,94.39,90.7,3.69,0.31,214940,214090,214310
175,86,오재일,KT,타자,215000,392.02,419.9,-27.88,-0.81,218920,215390,214190
176,88,박승욱,롯데,타자,213000,340.79,438.7,-97.91,0.11,216410,213340,213110
177,89,박민호,SSG,투수,212000,85.3,66.9,18.4,0.17,212850,212090,212170
178,89,천성호,KT,타자,212000,335.41,260.2,75.21,0.02,215350,212340,212020
